image,worker_id,gpu_id,ok,route_primary_skill,selected_skill,candidate_skill_ids,candidate_skill_count,selection_reason,selection_fallback,route_confidence,true_valence,true_arousal,direct_valence_score,direct_arousal_score,direct_valence,direct_arousal,skill_valence_score,skill_arousal_score,skill_valence,skill_arousal,skill_minus_direct_valence_delta,skill_minus_direct_arousal_delta,direct_valence_delta,direct_arousal_delta,direct_abs_valence_delta,direct_abs_arousal_delta,direct_euclidean_distance,skill_valence_delta,skill_arousal_delta,skill_abs_valence_delta,skill_abs_arousal_delta,skill_euclidean_distance,direct_seconds,route_seconds,skill_seconds,error,parse_recovered,raw_error_output
/home/u1120250383/dcs/datasets/IAPS/Dataset/7080.jpg,0,0,True,no_specialized_skill,no_specialized_skill,[],0,"The image is a simple still life of a fork on a textured surface, lacking any strong affective triggers for specialized psychology skills.",False,0.98,,,5.5,5.5,0.5,0.5,5.5,5.5,0.5,0.5,0.0,0.0,,,,,,,,,,,84.465,9.763,0.0,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/9000.jpg,1,1,True,cognitive-appraisal,cognitive-appraisal,"[""cognitive-appraisal""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.95,,,3.0,4.0,0.222222,0.333333,2.5,6.5,0.166667,0.611111,-0.0556,0.2778,,,,,,,,,,,87.094,17.247,40.947,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/4670.jpg,2,2,True,cognitive-appraisal,emotional-body-language,"[""cognitive-appraisal"", ""emotional-body-language""]",2,"The image primarily conveys affect through non-verbal cues like posture, touch, and body orientation, which are the core domain of emotional-body-language analysis. While cognitive-appraisal is applicable, the body-language analysis is more direct and grounded in visible evidence without requiring inference of internal states or social context. The VA scores are also more conservative and better aligned with the visual evidence, avoiding over-interpretation of the scene's emotional weight.",False,0.95,,,5.5,5.5,0.5,0.5,7.0,6.5,0.666667,0.611111,0.1667,0.1111,,,,,,,,,,,86.116,18.936,41.112,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/2597.jpg,3,3,True,cognitive-appraisal,cognitive-appraisal,"[""cognitive-appraisal""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.95,,,5.5,5.5,0.5,0.5,6.5,7.5,0.611111,0.722222,0.1111,0.2222,,,,,,,,,,,86.144,18.27,48.342,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/5870.jpg,0,0,True,kaplan-art-restoration,kaplan-art-restoration,"[""kaplan-art-restoration""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.95,,,6.5,6.5,0.611111,0.611111,7.0,3.5,0.666667,0.277778,0.0556,-0.3333,,,,,,,,,,,13.534,14.734,33.692,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/5825.jpg,1,1,True,kaplan-art-restoration,kaplan-art-restoration,"[""kaplan-art-restoration""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.95,,,8.5,6.0,0.833333,0.555556,8.0,3.0,0.777778,0.222222,-0.0556,-0.3333,,,,,,,,,,,15.657,18.136,37.628,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/6251.jpg,2,2,True,cognitive-appraisal,cognitive-appraisal,"[""cognitive-appraisal""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.98,,,3.5,8.5,0.277778,0.833333,2.5,9.0,0.166667,0.888889,-0.1111,0.0556,,,,,,,,,,,17.263,16.704,40.424,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/2220.jpg,3,3,True,todorov-face-evaluation,todorov-face-evaluation,"[""todorov-face-evaluation""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.95,,,5.5,5.5,0.5,0.5,5.5,5.5,0.5,0.5,0.0,0.0,,,,,,,,,,,16.874,16.248,29.237,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/4645.jpg,0,0,True,todorov-face-evaluation,todorov-face-evaluation,"[""todorov-face-evaluation""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.95,,,8.5,4.5,0.833333,0.388889,7.0,5.0,0.666667,0.444444,-0.1667,0.0556,,,,,,,,,,,14.978,18.697,32.096,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/9190.jpg,1,1,True,todorov-face-evaluation,todorov-face-evaluation,"[""todorov-face-evaluation""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.95,,,5.5,5.5,0.5,0.5,6.5,5.5,0.611111,0.5,0.1111,0.0,,,,,,,,,,,15.813,17.56,36.599,,,
