image,worker_id,gpu_id,ok,route_primary_skill,selected_skill,candidate_skill_ids,candidate_skill_count,selection_reason,selection_fallback,route_confidence,true_valence,true_arousal,direct_valence_score,direct_arousal_score,direct_valence,direct_arousal,skill_valence_score,skill_arousal_score,skill_valence,skill_arousal,skill_applicability,skill_minus_direct_valence_delta,skill_minus_direct_arousal_delta,direct_valence_delta,direct_arousal_delta,direct_abs_valence_delta,direct_abs_arousal_delta,direct_euclidean_distance,skill_valence_delta,skill_arousal_delta,skill_abs_valence_delta,skill_abs_arousal_delta,skill_euclidean_distance,direct_seconds,route_seconds,skill_seconds,error,parse_recovered,raw_error_output
/home/u1120250383/dcs/datasets/IAPS/Dataset/1019.jpg,,,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.98,,,4.0,7.0,0.375,0.75,3.0,8.0,0.25,0.875,strong,-0.125,0.125,,,,,,,,,,,28.66,3.559,21.772,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1033.jpg,,,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.95,,,5.0,5.0,0.5,0.5,4.0,5.0,0.375,0.5,partial,-0.125,0.0,,,,,,,,,,,6.002,3.363,21.878,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1052.jpg,,,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.99,,,3.0,8.0,0.25,0.875,2.0,8.5,0.125,0.9375,strong,-0.125,0.0625,,,,,,,,,,,6.61,3.289,18.058,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1101.jpg,,,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.95,,,5.0,5.0,0.5,0.5,4.0,5.0,0.375,0.5,partial,-0.125,0.0,,,,,,,,,,,5.701,3.41,22.491,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1113.jpg,,,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.99,,,4.5,7.5,0.4375,0.8125,2.5,8.0,0.1875,0.875,strong,-0.25,0.0625,,,,,,,,,,,6.282,3.513,20.906,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1122.jpg,,,True,no_specialized_skill,no_specialized_skill,[],0,"No specialized affective mechanism is visibly dominant; neutral, low-arousal scene.",False,0.99,,,5.0,5.0,0.5,0.5,5.0,5.0,0.5,0.5,,0.0,0.0,,,,,,,,,,,5.952,3.527,0.0,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1205.jpg,,,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.95,,,4.5,6.5,0.4375,0.6875,3.0,7.0,0.25,0.75,strong,-0.1875,0.0625,,,,,,,,,,,6.752,3.449,18.934,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1270.jpg,,,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.95,,,3.0,5.0,0.25,0.5,3.0,5.0,0.25,0.5,partial,0.0,0.0,,,,,,,,,,,7.363,3.916,22.207,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1280.jpg,,,True,pathogen-disgust,pathogen-disgust,"[""pathogen-disgust"", ""evolved-fear-module""]",2,"The image's dominant cues—visible blood, tissue degradation, and active interaction with contaminated prey—strongly activate the pathogen-disgust module. The evolved-fear-module analysis is weaker because the decay context overrides threat morphology, making pathogen-disgust the more appropriate and well-supported skill.",False,0.98,,,2.0,7.0,0.125,0.75,2.0,7.5,0.125,0.8125,strong,0.0,0.0625,,,,,,,,,,,6.521,3.616,21.905,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1303.jpg,,,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.95,,,5.0,7.0,0.5,0.75,2.5,8.0,0.1875,0.875,strong,-0.3125,0.125,,,,,,,,,,,8.886,3.767,20.011,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1321.jpg,,,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.98,,,3.0,8.0,0.25,0.875,2.0,8.5,0.125,0.9375,strong,-0.125,0.0625,,,,,,,,,,,5.839,3.803,18.24,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1390.jpg,,,True,no_specialized_skill,no_specialized_skill,[],0,"Close-up of bees; no visible human emotion, threat, novelty, or restorative environment.",False,1.0,,,5.0,5.0,0.5,0.5,5.0,5.0,0.5,0.5,,0.0,0.0,,,,,,,,,,,5.999,3.346,0.0,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1441.jpg,,,True,baby-schema,baby-schema,"[""baby-schema""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.98,,,8.0,3.0,0.875,0.25,7.5,3.5,0.8125,0.3125,strong,-0.0625,0.0625,,,,,,,,,,,6.065,3.466,24.783,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1500.jpg,,,True,no_specialized_skill,no_specialized_skill,[],0,"Neutral dog portrait with no visible threat, novelty, or consequential event.",False,0.99,,,6.5,5.0,0.6875,0.5,6.5,5.0,0.6875,0.5,,0.0,0.0,,,,,,,,,,,5.233,3.323,0.0,,,
