image,worker_id,gpu_id,ok,route_primary_skill,selected_skill,candidate_skill_ids,candidate_skill_count,selection_reason,selection_fallback,route_confidence,true_valence,true_arousal,direct_valence_score,direct_arousal_score,direct_valence,direct_arousal,skill_valence_score,skill_arousal_score,skill_valence,skill_arousal,skill_applicability,skill_minus_direct_valence_delta,skill_minus_direct_arousal_delta,direct_valence_delta,direct_arousal_delta,direct_abs_valence_delta,direct_abs_arousal_delta,direct_euclidean_distance,skill_valence_delta,skill_arousal_delta,skill_abs_valence_delta,skill_abs_arousal_delta,skill_euclidean_distance,direct_seconds,route_seconds,skill_seconds,error,parse_recovered,raw_error_output
/home/u1120250383/dcs/datasets/IAPS/Dataset/1019.jpg,0,0,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.98,,,4.0,7.0,0.375,0.75,3.5,7.5,0.3125,0.8125,strong,-0.0625,0.0625,,,,,,,,,,,52.885,2.993,22.208,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1022.jpg,1,1,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.99,,,4.0,7.0,0.375,0.75,3.0,7.0,0.25,0.75,strong,-0.125,0.0,,,,,,,,,,,53.07,3.475,20.337,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1026.jpg,2,2,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.98,,,5.0,5.0,0.5,0.5,4.0,6.0,0.375,0.625,partial,-0.125,0.125,,,,,,,,,,,52.116,3.271,22.595,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1030.jpg,3,3,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.99,,,5.0,5.0,0.5,0.5,3.0,6.0,0.25,0.625,partial,-0.25,0.125,,,,,,,,,,,53.7,3.015,20.989,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1033.jpg,0,0,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.98,,,5.0,5.0,0.5,0.5,4.0,5.0,0.375,0.5,partial,-0.125,0.0,,,,,,,,,,,6.132,3.131,21.413,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1040.jpg,1,1,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.98,,,4.0,7.0,0.375,0.75,3.0,7.0,0.25,0.75,strong,-0.125,0.0,,,,,,,,,,,7.996,3.153,20.578,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1050.jpg,2,2,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.99,,,3.0,8.0,0.25,0.875,2.5,8.5,0.1875,0.9375,strong,-0.0625,0.0625,,,,,,,,,,,5.686,3.049,20.71,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1051.jpg,3,3,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.99,,,3.0,8.0,0.25,0.875,2.5,8.5,0.1875,0.9375,strong,-0.0625,0.0625,,,,,,,,,,,6.97,3.104,20.104,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1052.jpg,0,0,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.99,,,3.0,8.0,0.25,0.875,2.0,8.0,0.125,0.875,strong,-0.125,0.0,,,,,,,,,,,6.652,3.086,20.7,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1070.jpg,1,1,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.99,,,5.0,5.0,0.5,0.5,3.0,6.0,0.25,0.625,partial,-0.25,0.125,,,,,,,,,,,6.888,3.036,20.793,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1080.jpg,2,2,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.99,,,5.0,5.0,0.5,0.5,3.5,6.5,0.3125,0.6875,partial,-0.1875,0.1875,,,,,,,,,,,6.158,3.236,23.734,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1090.jpg,3,3,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.99,,,4.0,7.0,0.375,0.75,3.0,7.0,0.25,0.75,strong,-0.125,0.0,,,,,,,,,,,5.788,3.044,19.881,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1101.jpg,0,0,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.99,,,5.0,5.0,0.5,0.5,4.0,5.0,0.375,0.5,partial,-0.125,0.0,,,,,,,,,,,5.661,3.135,21.222,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1110.jpg,1,1,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.99,,,4.0,6.0,0.375,0.625,3.0,7.0,0.25,0.75,strong,-0.125,0.125,,,,,,,,,,,6.67,3.012,21.471,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1111.jpg,2,2,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.99,,,3.0,7.0,0.25,0.75,3.0,7.0,0.25,0.75,strong,0.0,0.0,,,,,,,,,,,6.047,3.191,20.918,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1112.jpg,3,3,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.95,,,4.5,6.5,0.4375,0.6875,3.0,7.0,0.25,0.75,strong,-0.1875,0.0625,,,,,,,,,,,6.358,3.236,21.307,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1113.jpg,0,0,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.99,,,4.5,7.5,0.4375,0.8125,3.0,8.0,0.25,0.875,strong,-0.1875,0.0625,,,,,,,,,,,6.271,3.031,20.589,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1114.jpg,1,1,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.99,,,3.0,8.0,0.25,0.875,2.5,8.5,0.1875,0.9375,strong,-0.0625,0.0625,,,,,,,,,,,8.034,3.104,20.371,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1120.jpg,2,2,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.99,,,3.0,8.0,0.25,0.875,2.0,8.0,0.125,0.875,strong,-0.125,0.0,,,,,,,,,,,6.493,3.046,19.148,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1121.jpg,3,3,True,no_specialized_skill,no_specialized_skill,[],0,No specialized affective mechanism visibly dominant; neutral pose on leaf.,False,1.0,,,6.5,5.5,0.6875,0.5625,6.5,5.5,0.6875,0.5625,,0.0,0.0,,,,,,,,,,,6.831,2.976,0.0,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1122.jpg,0,0,True,no_specialized_skill,no_specialized_skill,[],0,"Neutral lizard on window frame; no visible threat, novelty, or restorative environment.",False,1.0,,,5.0,5.0,0.5,0.5,5.0,5.0,0.5,0.5,,0.0,0.0,,,,,,,,,,,5.842,3.048,0.0,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1200.jpg,1,1,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.99,,,5.0,5.0,0.5,0.5,3.0,6.0,0.25,0.625,partial,-0.25,0.125,,,,,,,,,,,5.991,3.095,22.806,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1201.jpg,2,2,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.95,,,4.5,6.5,0.4375,0.6875,4.0,5.0,0.375,0.5,partial,-0.0625,-0.1875,,,,,,,,,,,6.894,3.287,20.971,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1202.jpg,3,3,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.99,,,5.0,5.0,0.5,0.5,4.0,5.0,0.375,0.5,partial,-0.125,0.0,,,,,,,,,,,5.904,3.012,21.152,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1205.jpg,0,0,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.98,,,4.5,6.5,0.4375,0.6875,3.0,7.0,0.25,0.75,strong,-0.1875,0.0625,,,,,,,,,,,6.896,3.235,21.751,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1220.jpg,1,1,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.98,,,5.0,5.0,0.5,0.5,3.0,6.5,0.25,0.6875,partial,-0.25,0.1875,,,,,,,,,,,5.733,2.996,20.527,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1230.jpg,2,2,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.95,,,5.0,5.0,0.5,0.5,3.5,6.5,0.3125,0.6875,partial,-0.1875,0.1875,,,,,,,,,,,6.161,3.004,21.07,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1240.jpg,3,3,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.99,,,5.0,5.0,0.5,0.5,3.5,6.5,0.3125,0.6875,partial,-0.1875,0.1875,,,,,,,,,,,6.635,3.108,21.127,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1270.jpg,0,0,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.98,,,3.0,5.0,0.25,0.5,2.5,6.5,0.1875,0.6875,partial,-0.0625,0.1875,,,,,,,,,,,7.487,3.333,23.97,,,
