image,worker_id,gpu_id,ok,route_primary_skill,selected_skill,candidate_skill_ids,candidate_skill_count,selection_reason,selection_fallback,route_confidence,true_valence,true_arousal,direct_valence_score,direct_arousal_score,direct_valence,direct_arousal,skill_valence_score,skill_arousal_score,skill_valence,skill_arousal,skill_applicability,skill_minus_direct_valence_delta,skill_minus_direct_arousal_delta,direct_valence_delta,direct_arousal_delta,direct_abs_valence_delta,direct_abs_arousal_delta,direct_euclidean_distance,skill_valence_delta,skill_arousal_delta,skill_abs_valence_delta,skill_abs_arousal_delta,skill_euclidean_distance,direct_seconds,route_seconds,skill_seconds,error,parse_recovered,raw_error_output
/home/u1120250383/dcs/datasets/IAPS/Dataset/1019.jpg,0,0,True,evolved-fear-module,direct-va-baseline,"[""evolved-fear-module""]",1,All specialized candidates failed their evidence gate; retaining Direct VA.,True,0.98,,,4.0,7.0,0.375,0.75,4.0,7.0,0.375,0.75,,0.0,0.0,,,,,,,,,,,34.68,3.424,0.0,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1022.jpg,1,1,True,evolved-fear-module,direct-va-baseline,"[""evolved-fear-module""]",1,All specialized candidates failed their evidence gate; retaining Direct VA.,True,0.98,,,4.0,7.0,0.375,0.75,4.0,7.0,0.375,0.75,,0.0,0.0,,,,,,,,,,,34.598,3.717,0.0,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1026.jpg,2,2,True,evolved-fear-module,direct-va-baseline,"[""evolved-fear-module""]",1,All specialized candidates failed their evidence gate; retaining Direct VA.,True,0.95,,,5.0,5.0,0.5,0.5,5.0,5.0,0.5,0.5,,0.0,0.0,,,,,,,,,,,34.224,3.462,0.0,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1030.jpg,3,3,True,evolved-fear-module,direct-va-baseline,"[""evolved-fear-module""]",1,All specialized candidates failed their evidence gate; retaining Direct VA.,True,0.95,,,5.0,5.0,0.5,0.5,5.0,5.0,0.5,0.5,,0.0,0.0,,,,,,,,,,,35.569,3.332,0.0,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1033.jpg,0,0,True,evolved-fear-module,direct-va-baseline,"[""evolved-fear-module""]",1,All specialized candidates failed their evidence gate; retaining Direct VA.,True,0.95,,,5.0,5.0,0.5,0.5,5.0,5.0,0.5,0.5,,0.0,0.0,,,,,,,,,,,6.004,3.468,0.0,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1040.jpg,1,1,True,evolved-fear-module,direct-va-baseline,"[""evolved-fear-module""]",1,All specialized candidates failed their evidence gate; retaining Direct VA.,True,0.95,,,4.0,7.0,0.375,0.75,4.0,7.0,0.375,0.75,,0.0,0.0,,,,,,,,,,,7.946,3.522,0.0,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1050.jpg,2,2,True,evolved-fear-module,direct-va-baseline,"[""evolved-fear-module""]",1,All specialized candidates failed their evidence gate; retaining Direct VA.,True,0.98,,,3.0,8.0,0.25,0.875,3.0,8.0,0.25,0.875,,0.0,0.0,,,,,,,,,,,5.761,3.378,0.0,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1051.jpg,3,3,True,evolved-fear-module,direct-va-baseline,"[""evolved-fear-module""]",1,All specialized candidates failed their evidence gate; retaining Direct VA.,True,0.98,,,3.0,8.0,0.25,0.875,3.0,8.0,0.25,0.875,,0.0,0.0,,,,,,,,,,,7.127,3.385,0.0,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1052.jpg,0,0,True,evolved-fear-module,direct-va-baseline,"[""evolved-fear-module""]",1,All specialized candidates failed their evidence gate; retaining Direct VA.,True,0.99,,,3.0,8.0,0.25,0.875,3.0,8.0,0.25,0.875,,0.0,0.0,,,,,,,,,,,6.714,3.402,0.0,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1070.jpg,1,1,True,evolved-fear-module,direct-va-baseline,"[""evolved-fear-module""]",1,All specialized candidates failed their evidence gate; retaining Direct VA.,True,0.95,,,5.0,5.0,0.5,0.5,5.0,5.0,0.5,0.5,,0.0,0.0,,,,,,,,,,,6.944,3.42,0.0,,,
