image,worker_id,gpu_id,ok,route_primary_skill,selected_skill,candidate_skill_ids,candidate_skill_count,selection_reason,selection_fallback,route_confidence,true_valence,true_arousal,direct_valence_score,direct_arousal_score,direct_valence,direct_arousal,skill_valence_score,skill_arousal_score,skill_valence,skill_arousal,skill_minus_direct_valence_delta,skill_minus_direct_arousal_delta,direct_valence_delta,direct_arousal_delta,direct_abs_valence_delta,direct_abs_arousal_delta,direct_euclidean_distance,skill_valence_delta,skill_arousal_delta,skill_abs_valence_delta,skill_abs_arousal_delta,skill_euclidean_distance,direct_seconds,route_seconds,skill_seconds,error,parse_recovered,raw_error_output
/home/u1120250383/dcs/datasets/IAPS/Dataset/1022.jpg,1,,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.98,,,5.5,5.5,0.5,0.5,2.0,8.5,0.111111,0.833333,-0.3889,0.3333,,,,,,,,,,,64.996,13.695,33.485,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1040.jpg,1,,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.98,,,5.5,5.5,0.5,0.5,2.0,8.5,0.111111,0.833333,-0.3889,0.3333,,,,,,,,,,,15.982,15.977,29.926,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1070.jpg,1,,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.98,,,5.5,5.5,0.5,0.5,2.5,8.0,0.166667,0.777778,-0.3333,0.2778,,,,,,,,,,,16.063,16.192,31.514,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1110.jpg,1,,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.98,,,5.5,5.5,0.5,0.5,2.0,8.5,0.111111,0.833333,-0.3889,0.3333,,,,,,,,,,,17.785,15.255,31.31,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1114.jpg,1,,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.98,,,3.5,8.5,0.277778,0.833333,1.8,9.2,0.088889,0.911111,-0.1889,0.0778,,,,,,,,,,,14.347,15.015,34.517,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1200.jpg,1,,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.98,,,5.5,5.5,0.5,0.5,2.5,7.5,0.166667,0.722222,-0.3333,0.2222,,,,,,,,,,,16.582,15.011,32.133,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1220.jpg,1,,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.98,,,5.5,5.5,0.5,0.5,2.5,7.5,0.166667,0.722222,-0.3333,0.2222,,,,,,,,,,,16.408,15.226,34.157,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1271.jpg,1,,True,no_specialized_skill,no_specialized_skill,[],0,The image depicts insects in a confined environment without clear affective triggers for any specialized psychology skill.,False,0.95,,,5.5,5.5,0.5,0.5,5.5,5.5,0.5,0.5,0.0,0.0,,,,,,,,,,,14.576,11.268,0.0,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1300.jpg,1,,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.98,,,2.5,9.5,0.166667,0.944444,1.8,9.2,0.088889,0.911111,-0.0778,-0.0333,,,,,,,,,,,16.942,16.766,35.35,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1304.jpg,1,,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.95,,,2.5,9.0,0.166667,0.888889,1.8,9.2,0.088889,0.911111,-0.0778,0.0222,,,,,,,,,,,15.358,16.584,34.034,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1333.jpg,1,,True,no_specialized_skill,no_specialized_skill,[],0,The image depicts birds in a naturalistic setting without strong cues for any specialized affective construct.,False,0.95,,,7.0,6.0,0.666667,0.555556,7.0,6.0,0.666667,0.555556,0.0,0.0,,,,,,,,,,,13.9,13.719,0.0,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1410.jpg,1,,True,baby-schema,baby-schema,"[""baby-schema""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.95,,,7.0,6.0,0.666667,0.555556,8.5,4.5,0.833333,0.388889,0.1667,-0.1667,,,,,,,,,,,16.427,13.411,34.726,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1450.jpg,1,,True,no_specialized_skill,no_specialized_skill,[],0,"The image shows a bird in a neutral pose against a dark background, lacking strong cues for any specialized affective construct.",False,0.95,,,7.0,5.5,0.666667,0.5,7.0,5.5,0.666667,0.5,0.0,0.0,,,,,,,,,,,14.292,12.617,0.0,,,
