image,worker_id,gpu_id,ok,route_primary_skill,selected_skill,candidate_skill_ids,candidate_skill_count,selection_reason,selection_fallback,route_confidence,true_valence,true_arousal,direct_valence_score,direct_arousal_score,direct_valence,direct_arousal,skill_valence_score,skill_arousal_score,skill_valence,skill_arousal,skill_applicability,skill_minus_direct_valence_delta,skill_minus_direct_arousal_delta,direct_valence_delta,direct_arousal_delta,direct_abs_valence_delta,direct_abs_arousal_delta,direct_euclidean_distance,skill_valence_delta,skill_arousal_delta,skill_abs_valence_delta,skill_abs_arousal_delta,skill_euclidean_distance,direct_seconds,route_seconds,skill_seconds,error,parse_recovered,raw_error_output
/home/u1120250383/dcs/datasets/IAPS/Dataset/2000.jpg,0,0,True,facial-expression-affect,facial-expression-affect,"[""facial-expression-affect""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.98,,,8.0,6.0,0.875,0.625,8.0,5.0,0.875,0.5,strong,0.0,-0.125,,,,,,,,,,,28.583,3.777,15.598,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/2010.jpg,1,1,True,facial-expression-affect,direct-va-baseline,"[""facial-expression-affect""]",1,All specialized candidates failed their evidence gate; retaining Direct VA.,True,0.95,,,7.0,5.0,0.75,0.5,7.0,5.0,0.75,0.5,,0.0,0.0,,,,,,,,,,,28.641,3.551,0.0,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/2020.jpg,2,2,True,facial-expression-affect,facial-expression-affect,"[""facial-expression-affect""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.98,,,8.0,6.0,0.875,0.625,8.0,6.0,0.875,0.625,strong,0.0,0.0,,,,,,,,,,,28.56,3.737,15.088,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/2100.jpg,3,3,True,facial-expression-affect,direct-va-baseline,"[""facial-expression-affect""]",1,All specialized candidates failed their evidence gate; retaining Direct VA.,True,0.98,,,3.0,7.0,0.25,0.75,3.0,7.0,0.25,0.75,,0.0,0.0,,,,,,,,,,,29.218,3.647,0.0,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/2120.jpg,0,0,True,facial-expression-affect,facial-expression-affect,"[""facial-expression-affect""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.98,,,2.0,8.0,0.125,0.875,2.0,8.0,0.125,0.875,strong,0.0,0.0,,,,,,,,,,,5.73,3.885,16.737,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/2130.jpg,1,1,True,facial-expression-affect,facial-expression-affect,"[""facial-expression-affect""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.98,,,2.0,8.0,0.125,0.875,2.0,8.0,0.125,0.875,strong,0.0,0.0,,,,,,,,,,,5.216,3.59,17.03,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/2220.jpg,2,2,True,facial-expression-affect,direct-va-baseline,"[""facial-expression-affect""]",1,All specialized candidates failed their evidence gate; retaining Direct VA.,True,0.95,,,5.0,5.0,0.5,0.5,5.0,5.0,0.5,0.5,,0.0,0.0,,,,,,,,,,,5.481,3.748,0.0,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/9000.jpg,3,3,True,no_specialized_skill,no_specialized_skill,[],0,No visible direct affective mechanism; symbolic meaning without perceptual stimulation or event-driven stakes.,False,1.0,,,3.0,4.0,0.25,0.375,3.0,4.0,0.25,0.375,,0.0,0.0,,,,,,,,,,,6.279,2.951,0.0,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/2597.jpg,0,0,True,no_specialized_skill,no_specialized_skill,[],0,"Routine social gathering with no visible consequential event, threat, or perceptual novelty driving affect.",False,0.99,,,5.0,5.0,0.5,0.5,5.0,5.0,0.5,0.5,,0.0,0.0,,,,,,,,,,,5.411,3.382,0.0,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/7080.jpg,1,1,True,no_specialized_skill,no_specialized_skill,[],0,Plain object on neutral background; no affective mechanism visible.,False,1.0,,,5.0,5.0,0.5,0.5,5.0,5.0,0.5,0.5,,0.0,0.0,,,,,,,,,,,5.056,2.743,0.0,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/5870.jpg,2,2,True,no_specialized_skill,no_specialized_skill,[],0,"No specialized affective mechanism is visibly dominant; cloud scene lacks scale cues, threat, novelty, or restorative structure.",False,1.0,,,6.0,5.0,0.625,0.5,6.0,5.0,0.625,0.5,,0.0,0.0,,,,,,,,,,,6.043,3.21,0.0,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/4670.jpg,3,3,True,no_specialized_skill,no_specialized_skill,[],0,No specialized affective mechanism visibly dominant; intimate body contact without clear arousal/valence cues or direct appraisal stakes.,False,1.0,,,5.0,5.0,0.5,0.5,5.0,5.0,0.5,0.5,,0.0,0.0,,,,,,,,,,,7.648,3.782,0.0,,,
