image,ok,selected_skill,route_confidence,true_valence,true_arousal,direct_valence_score,direct_arousal_score,direct_valence,direct_arousal,skill_valence_score,skill_arousal_score,skill_valence,skill_arousal,skill_minus_direct_valence_delta,skill_minus_direct_arousal_delta,direct_valence_delta,direct_arousal_delta,direct_abs_valence_delta,direct_abs_arousal_delta,direct_euclidean_distance,skill_valence_delta,skill_arousal_delta,skill_abs_valence_delta,skill_abs_arousal_delta,skill_euclidean_distance,direct_seconds,route_seconds,skill_seconds,error,parse_recovered,raw_error_output
/home/u1120250383/dcs/Emoskill_test/uploads/030013_Y_000.jpg,True,panas-discrete-va,0.95,0.703333,0.592222,7.0,6.5,0.666667,0.611111,8.5,8.0,0.833333,0.777778,0.1667,0.1667,-0.036666,0.018889,0.036666,0.018889,0.041245,0.13,0.185556,0.13,0.185556,0.226564,95.007,6.243,21.253,,,
/home/u1120250383/dcs/Emoskill_test/uploads/030013_Y_093.jpg,False,cognitive-appraisal,0.85,0.63,0.63,7.0,5.5,0.666667,0.5,,,,,,,0.036667,-0.13,0.036667,0.13,0.135072,,,,,,5.827,9.761,,Model output missing required key: valence_score,,
/home/u1120250383/dcs/Emoskill_test/uploads/096817_Y_048.jpg,True,kaplan-art-restoration,0.95,0.481111,0.444444,5.5,5.5,0.5,0.5,6.5,3.5,0.611111,0.277778,0.1111,-0.2222,0.018889,0.055556,0.018889,0.055556,0.058679,0.13,-0.166666,0.13,0.166666,0.211371,6.801,8.553,21.172,,,
/home/u1120250383/dcs/Emoskill_test/uploads/096817_Y_057.jpg,False,panas-discrete-va,0.95,0.741111,0.703333,7.5,6.5,0.722222,0.611111,,,,,,,-0.018889,-0.092222,0.018889,0.092222,0.094137,,,,,,5.805,6.296,,Model output missing required key: valence_score,,
/home/u1120250383/dcs/Emoskill_test/uploads/141517_Y_062.jpg,True,todorov-face-evaluation,0.95,0.481111,0.444444,6.5,5.5,0.611111,0.5,6.5,5.5,0.611111,0.5,0.0,0.0,0.13,0.055556,0.13,0.055556,0.141374,0.13,0.055556,0.13,0.055556,0.141374,5.647,5.456,18.688,,,
/home/u1120250383/dcs/Emoskill_test/uploads/141517_Y_077.jpg,True,kaplan-art-restoration,0.95,0.481111,0.407778,7.0,4.0,0.666667,0.333333,7.5,3.5,0.722222,0.277778,0.0556,-0.0556,0.185556,-0.074445,0.185556,0.074445,0.199933,0.241111,-0.13,0.241111,0.13,0.273924,6.23,8.048,17.29,,,
/home/u1120250383/dcs/Emoskill_test/uploads/141517_Y_099.jpg,True,kaplan-art-restoration,0.95,0.555556,0.444444,7.0,4.0,0.666667,0.333333,7.5,4.0,0.722222,0.333333,0.0556,0.0,0.111111,-0.111111,0.111111,0.111111,0.157135,0.166666,-0.111111,0.166666,0.111111,0.200308,6.363,6.932,17.61,,,
/home/u1120250383/dcs/Emoskill_test/uploads/158941_Y_002.jpg,False,panas-discrete-va,0.95,0.481111,0.481111,6.5,8.5,0.611111,0.833333,,,,,,,0.13,0.352222,0.13,0.352222,0.375447,,,,,,6.163,7.603,,Model output missing required key: valence_score,,
/home/u1120250383/dcs/Emoskill_test/uploads/158941_Y_015.jpg,False,panas-discrete-va,0.95,0.63,0.518889,8.5,6.5,0.833333,0.611111,,,,,,,0.203333,0.092222,0.203333,0.092222,0.223269,,,,,,5.183,5.777,,Model output missing required key: valence_score,,
/home/u1120250383/dcs/Emoskill_test/uploads/158941_Y_071.jpg,True,todorov-face-evaluation,0.95,0.555556,0.592222,7.5,5.5,0.722222,0.5,7.5,5.5,0.722222,0.5,0.0,0.0,0.166666,-0.092222,0.166666,0.092222,0.19048,0.166666,-0.092222,0.166666,0.092222,0.19048,5.821,6.545,18.039,,,
/home/u1120250383/dcs/Emoskill_test/uploads/235921_Y_001.jpg,False,panas-discrete-va,0.95,0.63,0.518889,8.0,6.5,0.777778,0.611111,,,,,,,0.147778,0.092222,0.147778,0.092222,0.174193,,,,,,5.792,8.103,,Model output missing required key: valence_score,,
/home/u1120250383/dcs/Emoskill_test/uploads/235921_Y_021.jpg,True,kaplan-art-restoration,0.95,0.444444,0.444444,6.5,4.5,0.611111,0.388889,6.5,4.5,0.611111,0.388889,0.0,0.0,0.166667,-0.055555,0.166667,0.055555,0.175682,0.166667,-0.055555,0.166667,0.055555,0.175682,5.854,6.634,20.018,,,
/home/u1120250383/dcs/Emoskill_test/uploads/235921_Y_027.jpg,True,berlyne-arousal-pleasure,0.95,0.481111,0.481111,7.0,4.5,0.666667,0.388889,7.0,6.0,0.666667,0.555556,0.0,0.1667,0.185556,-0.092222,0.185556,0.092222,0.20721,0.185556,0.074445,0.185556,0.074445,0.199933,6.959,7.01,16.6,,,
/home/u1120250383/dcs/Emoskill_test/uploads/235921_Y_031.jpg,True,berlyne-arousal-pleasure,0.95,0.518889,0.444444,7.0,6.0,0.666667,0.555556,7.5,6.5,0.722222,0.611111,0.0556,0.0556,0.147778,0.111112,0.147778,0.111112,0.18489,0.203333,0.166667,0.203333,0.166667,0.262911,5.995,7.09,19.072,,,
/home/u1120250383/dcs/Emoskill_test/uploads/235921_Y_051.jpg,False,berlyne-arousal-pleasure,0.95,0.481111,0.444444,5.5,5.5,0.5,0.5,,,,,,,0.018889,0.055556,0.018889,0.055556,0.058679,,,,,,6.831,7.978,,Model output missing required key: valence_score,,
