image,ok,selected_skill,route_confidence,direct_valence,direct_arousal,skill_valence,skill_arousal,valence_delta,arousal_delta,direct_seconds,route_seconds,skill_seconds,error
/home/u1120250383/zyh/emoskill_infer/pic/030013_Y_000.jpg,True,todorov-face-evaluation,0.95,0.8,0.7,0.7,0.6,-0.1,-0.1,154.323,8.114,12.632,
/home/u1120250383/zyh/emoskill_infer/pic/030013_Y_093.jpg,True,cognitive-appraisal,0.95,0.85,0.6,0.7,0.3,-0.15,-0.3,6.705,11.079,14.213,
/home/u1120250383/zyh/emoskill_infer/pic/096817_Y_048.jpg,True,kaplan-art-restoration,0.95,0.2,0.3,0.3,0.2,0.1,-0.1,6.785,9.668,10.587,
/home/u1120250383/zyh/emoskill_infer/pic/096817_Y_057.jpg,False,,,0.85,0.7,,,,,6.491,,,"Expecting ',' delimiter: line 24 column 4 (char 870)"
/home/u1120250383/zyh/emoskill_infer/pic/141517_Y_062.jpg,True,todorov-face-evaluation,0.95,0.6,0.3,0.3,0.2,-0.3,-0.1,6.15,10.053,12.242,
/home/u1120250383/zyh/emoskill_infer/pic/141517_Y_077.jpg,True,kaplan-art-restoration,0.95,0.7,0.3,0.7,0.2,0.0,-0.1,6.096,8.545,11.003,
/home/u1120250383/zyh/emoskill_infer/pic/141517_Y_099.jpg,True,kaplan-art-restoration,0.95,0.7,0.3,0.75,0.25,0.05,-0.05,5.752,8.951,11.395,
/home/u1120250383/zyh/emoskill_infer/pic/158941_Y_002.jpg,True,berlyne-arousal-pleasure,0.95,0.7,0.8,0.7,0.8,0.0,0.0,5.985,9.905,12.288,
/home/u1120250383/zyh/emoskill_infer/pic/158941_Y_015.jpg,False,,,0.9,0.7,,,,,6.391,,,"Expecting ',' delimiter: line 23 column 4 (char 1025)"
/home/u1120250383/zyh/emoskill_infer/pic/158941_Y_071.jpg,True,todorov-face-evaluation,0.95,0.8,0.3,0.75,0.3,-0.05,0.0,6.019,7.988,9.862,
/home/u1120250383/zyh/emoskill_infer/pic/235921_Y_001.jpg,True,cognitive-appraisal,0.95,0.9,0.7,0.85,0.6,-0.05,-0.1,5.859,9.904,12.58,
/home/u1120250383/zyh/emoskill_infer/pic/235921_Y_021.jpg,True,berlyne-arousal-pleasure,0.95,0.6,0.3,0.7,0.4,0.1,0.1,6.356,9.169,12.745,
/home/u1120250383/zyh/emoskill_infer/pic/235921_Y_027.jpg,True,berlyne-arousal-pleasure,0.95,0.7,0.3,0.75,0.4,0.05,0.1,6.935,10.133,13.366,
/home/u1120250383/zyh/emoskill_infer/pic/235921_Y_031.jpg,True,berlyne-arousal-pleasure,0.95,0.8,0.4,0.7,0.6,-0.1,0.2,5.413,8.919,11.716,
/home/u1120250383/zyh/emoskill_infer/pic/235921_Y_051.jpg,True,berlyne-arousal-pleasure,0.95,0.3,0.4,0.6,0.7,0.3,0.3,7.0,9.067,12.195,
