image,worker_id,gpu_id,ok,route_primary_skill,selected_skill,candidate_skill_ids,candidate_skill_count,selection_reason,selection_fallback,route_confidence,true_valence,true_arousal,direct_valence_score,direct_arousal_score,direct_valence,direct_arousal,skill_valence_score,skill_arousal_score,skill_valence,skill_arousal,skill_minus_direct_valence_delta,skill_minus_direct_arousal_delta,direct_valence_delta,direct_arousal_delta,direct_abs_valence_delta,direct_abs_arousal_delta,direct_euclidean_distance,skill_valence_delta,skill_arousal_delta,skill_abs_valence_delta,skill_abs_arousal_delta,skill_euclidean_distance,direct_seconds,route_seconds,skill_seconds,error,parse_recovered,raw_error_output
/home/u1120250383/dcs/datasets/IAPS/Dataset/7080.jpg,0,0,True,berlyne-arousal-pleasure,berlyne-arousal-pleasure,"[""berlyne-arousal-pleasure"", ""kaplan-art-restoration"", ""cognitive-appraisal""]",3,"The image's affect is driven by its minimalist composition and the interplay of light and texture, which creates aesthetic stimulation and visual interest. Berlyne's model is best suited for evaluating aesthetic stimulation and its relation to valence and arousal, which directly applies to this image's neutral yet moderately engaging aesthetic. The other models are less appropriate: Kaplan's model focuses on restorative environments, which this image does not strongly evoke, and cognitive-appraisal requires inferable goals or agency, which are absent here.",False,0.85,,,5.5,5.5,0.5,0.5,5.5,5.5,0.5,0.5,0.0,0.0,,,,,,,,,,,113.329,27.97,44.239,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/9000.jpg,1,1,True,awe,awe,"[""awe"", ""cognitive-appraisal"", ""berlyne-arousal-pleasure""]",3,"The image's dominant affective content is a perception of immense scale and grandeur (the vast cemetery), which triggers awe. The visual cues of vastness, self-diminishment, and threat assessment are most strongly aligned with the awe skill's framework, which specifically accounts for threat-based awe. The other skills (cognitive-appraisal and Berlyne) interpret the scene as somber or contemplative, but fail to capture the overwhelming, sublime, and threatening nature that defines the awe response in this context.",False,0.95,,,3.0,4.0,0.222222,0.333333,4.5,8.5,0.388889,0.833333,0.1667,0.5,,,,,,,,,,,116.075,29.916,53.756,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/4670.jpg,2,2,True,cognitive-appraisal,cognitive-appraisal,"[""cognitive-appraisal"", ""emotional-body-language"", ""todorov-face-evaluation""]",3,"The image depicts an intimate, ambiguous human interaction where affect is inferred from context and implied emotional states rather than direct expression or posture. The cognitive-appraisal skill is best suited for this scenario as it evaluates the situation based on goal relevance, congruence, agency, and coping potential, which are all visible in the image. The other skills are less appropriate: emotional-body-language relies on postural cues which are present but insufficient alone, and Todorov-face-evaluation is inapplicable due to the absence of visible faces.",False,0.95,,,5.5,5.5,0.5,0.5,8.0,7.5,0.777778,0.722222,0.2778,0.2222,,,,,,,,,,,115.061,31.769,55.744,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/2597.jpg,3,3,True,cognitive-appraisal,cognitive-appraisal,"[""cognitive-appraisal"", ""berlyne-arousal-pleasure"", ""emotional-body-language""]",3,"The scene's affect is best understood through situational appraisal: the high-stakes social context, goal relevance (eating, socializing), agency (choosing food), and coping potential (orderly crowd) all point to a positive, high-arousal state. The cognitive-appraisal analysis correctly weights excitement as the dominant emotion, yielding a high arousal score and moderate positive valence, which aligns with the visible evidence of a bustling, engaging food market. The other skills misinterpret the affect: Berlyne's model is inapplicable as the affect is not driven by aesthetic stimulation, and body-language analysis fails to capture the situational context and goal-driven engagement.",False,0.95,,,5.5,5.5,0.5,0.5,6.5,8.5,0.611111,0.833333,0.1111,0.3333,,,,,,,,,,,114.903,37.362,57.689,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/5870.jpg,0,0,True,awe,awe,"[""awe"", ""kaplan-art-restoration"", ""berlyne-arousal-pleasure""]",3,"The image's dominant cues — massive, vertically immensity clouds against a deep blue sky — most strongly align with the awe framework, evoking perceived vastness and self-diminishment. The dramatic lighting enhances beauty without threat, supporting positive awe. While Kaplan and Berlyne offer plausible interpretations, the awe skill best captures the scale and transcendent quality of the scene, which is the most psychologically salient feature.",False,0.95,,,6.5,6.5,0.611111,0.611111,7.0,8.5,0.666667,0.833333,0.0556,0.2222,,,,,,,,,,,13.598,28.61,44.743,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/5825.jpg,1,1,True,kaplan-art-restoration,kaplan-art-restoration,"[""kaplan-art-restoration"", ""awe"", ""berlyne-arousal-pleasure""]",3,"The image depicts a calm, expansive natural coastal scene that evokes restorative tranquility, fitting Kaplan's Attention Restoration Theory. The visual cues strongly support 'being-away', 'soft fascination', 'extent', and 'compatibility', which are key to the ART model. The scene lacks visual complexity or stimulation, aligning with low arousal and high restorative potential, making this the most psychologically grounded analysis.",False,0.95,,,8.5,6.0,0.833333,0.555556,8.5,3.5,0.833333,0.277778,0.0,-0.2778,,,,,,,,,,,15.537,30.933,39.075,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/6251.jpg,2,2,True,cognitive-appraisal,cognitive-appraisal,"[""cognitive-appraisal"", ""emotional-body-language"", ""todorov-face-evaluation""]",3,"The image's ambiguous facial expression and threatening gesture require situational appraisal to determine the emotion, which is the core function of cognitive-appraisal. The other skills are less appropriate: emotional-body-language focuses on posture and gesture, which is partially applicable but secondary to the situational threat; Todorov-face-evaluation is invalid here as the face is obscured and the context is highly situational, not a neutral structural evaluation. The cognitive-appraisal analysis best integrates the visible cues (gun, gaze, posture) with the psychological constructs (goal relevance, congruence, agency) to justify the VA scores.",False,0.95,,,3.5,8.5,0.277778,0.833333,3.5,8.5,0.277778,0.833333,0.0,0.0,,,,,,,,,,,17.214,30.92,53.441,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/2220.jpg,3,3,True,todorov-face-evaluation,todorov-face-evaluation,"[""todorov-face-evaluation"", ""cognitive-appraisal"", ""emotional-body-language""]",3,"The image features a human face as the dominant subject with a neutral, resting expression, making the affective read dependent on facial structure rather than a clear emotion. The Todorov skill is specifically designed for evaluating affective valence and arousal based on facial structure and social impression, which aligns perfectly with the visible evidence. The other skills are either not applicable (emotional-body-language) or lack the necessary context for a robust appraisal (cognitive-appraisal).",False,0.95,,,5.5,5.5,0.5,0.5,5.5,5.5,0.5,0.5,0.0,0.0,,,,,,,,,,,16.819,30.726,36.081,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/4645.jpg,0,0,True,todorov-face-evaluation,todorov-face-evaluation,"[""todorov-face-evaluation"", ""cognitive-appraisal"", ""emotional-body-language""]",3,"The image's dominant affective content is a close-up of a human face in a neutral, resting state, where the emotional impression arises from facial structure rather than an expressed emotion. The Todorov model is specifically designed for such structural face evaluations, and its analysis yields a high valence score (7.5) based on trustworthiness and calm authority, which is more psychologically justified than the neutral scores from the other skills.",False,0.95,,,8.5,4.5,0.833333,0.388889,7.5,5.5,0.722222,0.5,-0.1111,0.1111,,,,,,,,,,,14.997,27.215,41.486,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/9190.jpg,1,1,True,todorov-face-evaluation,todorov-face-evaluation,"[""todorov-face-evaluation"", ""cognitive-appraisal"", ""emotional-body-language""]",3,"The image's dominant affective content is a human face with a neutral expression, where the emotional read comes from facial structure rather than a clear expression. The candidate analysis correctly identifies structural cues (wide-set eyes with upward curve, closed mouth with slight upturn, strong jawline) that signal warmth, approachability, and moderate dominance, leading to a valence of 6.5 and arousal of 5.5. This is more psychologically grounded than the cognitive-appraisal's neutral score, which misinterprets the structural cues as passive calm. The emotional-body-language skill is not applicable as the face is clearly visible and dominant.",False,0.95,,,5.5,5.5,0.5,0.5,6.5,5.5,0.611111,0.5,0.1111,0.0,,,,,,,,,,,15.797,31.511,47.408,,,
