image,worker_id,gpu_id,ok,route_primary_skill,selected_skill,candidate_skill_ids,candidate_skill_count,selection_reason,selection_fallback,route_confidence,true_valence,true_arousal,direct_valence_score,direct_arousal_score,direct_valence,direct_arousal,skill_valence_score,skill_arousal_score,skill_valence,skill_arousal,skill_applicability,skill_minus_direct_valence_delta,skill_minus_direct_arousal_delta,direct_valence_delta,direct_arousal_delta,direct_abs_valence_delta,direct_abs_arousal_delta,direct_euclidean_distance,skill_valence_delta,skill_arousal_delta,skill_abs_valence_delta,skill_abs_arousal_delta,skill_euclidean_distance,direct_seconds,route_seconds,skill_seconds,error,parse_recovered,raw_error_output
/home/u1120250383/dcs/datasets/IAPS/Dataset/1026.jpg,,,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.95,,,5.0,5.0,0.5,0.5,3.5,7.0,0.3125,0.75,partial,-0.1875,0.25,,,,,,,,,,,30.291,3.251,22.056,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1050.jpg,,,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.99,,,3.0,8.0,0.25,0.875,2.0,8.5,0.125,0.9375,strong,-0.125,0.0625,,,,,,,,,,,5.707,3.053,21.347,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1080.jpg,,,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.98,,,5.0,5.0,0.5,0.5,3.0,6.5,0.25,0.6875,strong,-0.25,0.1875,,,,,,,,,,,6.078,3.475,19.244,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1111.jpg,,,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.99,,,3.0,7.0,0.25,0.75,3.0,7.5,0.25,0.8125,partial,0.0,0.0625,,,,,,,,,,,6.069,3.206,20.535,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1120.jpg,,,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.99,,,3.0,8.0,0.25,0.875,2.0,8.5,0.125,0.9375,strong,-0.125,0.0625,,,,,,,,,,,6.566,3.045,18.289,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1201.jpg,,,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.99,,,4.5,6.5,0.4375,0.6875,3.0,6.5,0.25,0.6875,partial,-0.1875,0.0,,,,,,,,,,,6.884,3.12,21.368,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1230.jpg,,,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.95,,,5.0,5.0,0.5,0.5,3.0,6.5,0.25,0.6875,partial,-0.25,0.1875,,,,,,,,,,,6.103,2.914,21.95,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1274.jpg,,,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.99,,,5.0,5.0,0.5,0.5,2.0,6.5,0.125,0.6875,partial,-0.375,0.1875,,,,,,,,,,,5.305,3.334,21.856,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1301.jpg,,,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.99,,,3.0,8.0,0.25,0.875,2.0,8.5,0.125,0.9375,strong,-0.125,0.0625,,,,,,,,,,,7.303,3.49,18.987,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1310.jpg,,,True,pathogen-disgust,pathogen-disgust,"[""pathogen-disgust"", ""evolved-fear-module""]",2,"The image's primary psychological trigger is the visceral, unambiguous presence of blood and raw flesh, which directly activates the pathogen-disgust module. While the evolved-fear-module is also activated, the disgust response is more specific and dominant in this context, as the threat is not primarily about predatory aggression toward the viewer but about contamination from organic matter. The candidate's VA score is well-justified by the visual evidence of dense, wet blood and raw flesh being ingested, which strongly supports a high-disgust, high-arousal state.",False,0.99,,,3.0,8.0,0.25,0.875,2.0,7.5,0.125,0.8125,strong,-0.125,-0.0625,,,,,,,,,,,6.208,3.281,20.405,,,
