image,worker_id,gpu_id,ok,route_primary_skill,selected_skill,candidate_skill_ids,candidate_skill_count,selection_reason,selection_fallback,route_confidence,true_valence,true_arousal,direct_valence_score,direct_arousal_score,direct_valence,direct_arousal,direct_activation_evidence,direct_arousal_gate,skill_valence_score,skill_arousal_score,skill_valence,skill_arousal,skill_applicability,skill_activation_evidence,skill_arousal_gate,skill_minus_direct_valence_delta,skill_minus_direct_arousal_delta,direct_valence_delta,direct_arousal_delta,direct_abs_valence_delta,direct_abs_arousal_delta,direct_euclidean_distance,skill_valence_delta,skill_arousal_delta,skill_abs_valence_delta,skill_abs_arousal_delta,skill_euclidean_distance,direct_seconds,route_seconds,skill_seconds,error,parse_recovered,raw_error_output
/home/u1120250383/dcs/datasets/IAPS/Dataset/1019.jpg,0,0,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.99,,,3.5,7.5,0.3125,0.8125,"[""predator-prey interaction with mouth open"", ""imminent consumption of prey"", ""close threatening proximity""]",,3.5,6.8,0.3125,0.725,strong,"[""predatory action in progress"", ""close proximity"", ""direct orientation""]",,0.0,-0.0875,,,,,,,,,,,37.314,3.237,17.794,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1022.jpg,1,1,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.99,,,5.0,5.0,0.5,0.5,"[""snake's tongue flicking"", ""intense eye gaze"", ""coiled posture suggesting alertness""]",,3.5,6.0,0.3125,0.625,strong,"[""facing viewer"", ""tongue flicking"", ""coiled posture""]",,-0.1875,0.125,,,,,,,,,,,37.667,3.176,18.726,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1026.jpg,2,2,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.95,,,5.0,5.0,0.5,0.5,"[""snake tongue flicking"", ""coiled posture suggesting alertness""]",,4.5,5.0,0.4375,0.5,partial,"[""tongue flicking"", ""head raised and oriented toward viewer""]",,-0.0625,0.0,,,,,,,,,,,36.326,3.313,19.362,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1030.jpg,3,3,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.99,,,5.0,4.5,0.5,0.4375,[],arousal 5.0 capped to 4.5: empty activation_evidence,4.0,4.5,0.375,0.4375,partial,[],arousal 5.0 capped to 4.5: empty activation_evidence,-0.125,0.0,,,,,,,,,,,35.957,3.137,21.324,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1033.jpg,0,0,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.98,,,5.0,4.5,0.5,0.4375,[],,4.5,4.5,0.4375,0.4375,partial,[],,-0.0625,0.0,,,,,,,,,,,6.327,3.402,21.15,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1040.jpg,1,1,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.98,,,5.0,6.5,0.5,0.6875,"[""snake's tongue flicking"", ""intense eye focus"", ""coiled threatening posture""]",,3.5,6.0,0.3125,0.625,strong,"[""tongue flicking"", ""head raised"", ""facing viewer""]",,-0.1875,-0.0625,,,,,,,,,,,7.297,3.287,19.18,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1050.jpg,2,2,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.99,,,3.5,7.5,0.3125,0.8125,"[""open mouth displaying fangs"", ""intense eye contact"", ""threatening posture""]",,3.5,6.8,0.3125,0.725,strong,"[""open mouth"", ""facing viewer"", ""strike posture""]",,0.0,-0.0875,,,,,,,,,,,7.43,3.324,19.431,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1051.jpg,3,3,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.99,,,3.5,7.5,0.3125,0.8125,"[""snake mouth open in threat display"", ""imminent danger implied by posture and context""]",,3.5,6.5,0.3125,0.6875,strong,"[""open mouth"", ""facing viewer"", ""predatory posture""]",,0.0,-0.125,,,,,,,,,,,7.092,3.233,17.654,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1052.jpg,0,0,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.99,,,3.5,7.5,0.3125,0.8125,"[""snake with mouth open in threat display"", ""intense facial expression"", ""imminent danger implied by posture""]",,3.5,6.8,0.3125,0.725,strong,"[""open mouth threat display"", ""facing viewer"", ""close proximity""]",,0.0,-0.0875,,,,,,,,,,,6.969,3.147,17.791,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1070.jpg,1,1,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.99,,,5.0,4.5,0.5,0.4375,[],arousal 5.0 capped to 4.5: empty activation_evidence,4.0,4.5,0.375,0.4375,partial,[],arousal 5.0 capped to 4.5: empty activation_evidence,-0.125,0.0,,,,,,,,,,,6.603,3.067,22.317,,,
