image,worker_id,gpu_id,ok,route_primary_skill,selected_skill,candidate_skill_ids,candidate_skill_count,selection_reason,selection_fallback,route_confidence,true_valence,true_arousal,direct_valence_score,direct_arousal_score,direct_valence,direct_arousal,direct_activation_evidence,direct_arousal_gate,skill_valence_score,skill_arousal_score,skill_valence,skill_arousal,skill_applicability,skill_activation_evidence,skill_arousal_gate,skill_minus_direct_valence_delta,skill_minus_direct_arousal_delta,direct_valence_delta,direct_arousal_delta,direct_abs_valence_delta,direct_abs_arousal_delta,direct_euclidean_distance,skill_valence_delta,skill_arousal_delta,skill_abs_valence_delta,skill_abs_arousal_delta,skill_euclidean_distance,direct_seconds,route_seconds,skill_seconds,error,parse_recovered,raw_error_output
/home/u1120250383/dcs/datasets/IAPS/Dataset/1026.jpg,,,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.95,,,5.0,5.0,0.5,0.5,"[""snake tongue flicking"", ""coiled posture suggesting alertness""]",,4.5,5.0,0.4375,0.5,partial,"[""tongue flicking"", ""head raised and oriented toward viewer""]",,-0.0625,0.0,,,,,,,,,,,36.326,3.313,19.362,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1050.jpg,,,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.99,,,3.5,7.5,0.3125,0.8125,"[""open mouth displaying fangs"", ""intense eye contact"", ""threatening posture""]",,3.5,6.8,0.3125,0.725,strong,"[""open mouth"", ""facing viewer"", ""strike posture""]",,0.0,-0.0875,,,,,,,,,,,7.43,3.324,19.431,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1080.jpg,,,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.99,,,5.0,4.5,0.5,0.4375,[],arousal 5.0 capped to 4.5: empty activation_evidence,4.0,4.5,0.375,0.4375,partial,[],arousal 5.0 capped to 4.5: empty activation_evidence,-0.125,0.0,,,,,,,,,,,6.654,3.337,22.126,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1111.jpg,,,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.99,,,3.5,5.5,0.3125,0.5625,"[""dense, writhing mass of snakes suggesting imminent threat or danger""]",,3.5,4.5,0.3125,0.4375,partial,[],arousal 5.0 capped to 4.5: empty activation_evidence,0.0,-0.125,,,,,,,,,,,6.98,3.202,20.51,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1120.jpg,,,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.99,,,3.5,7.5,0.3125,0.8125,"[""imminent threat: snake mouth open wide showing fangs and tongue"", ""close threatening proximity: head angled toward viewer"", ""intense facial/body display: wide gape and visible internal structures""]",,3.0,6.5,0.25,0.6875,strong,"[""open mouth"", ""facing viewer"", ""strike posture""]",,-0.0625,-0.125,,,,,,,,,,,7.016,3.222,17.788,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1201.jpg,,,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.99,,,5.0,5.0,0.5,0.5,"[""spider on shoulder""]",,4.0,4.5,0.375,0.4375,partial,[],arousal 5.0 capped to 4.5: empty activation_evidence,-0.125,-0.0625,,,,,,,,,,,5.642,3.083,17.945,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1230.jpg,,,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.95,,,5.0,4.5,0.5,0.4375,[],arousal 5.0 capped to 4.5: empty activation_evidence,4.0,4.5,0.375,0.4375,partial,[],,-0.125,0.0,,,,,,,,,,,6.519,3.081,18.829,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1274.jpg,,,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.99,,,5.0,4.5,0.5,0.4375,[],,3.5,4.5,0.3125,0.4375,partial,[],,-0.1875,0.0,,,,,,,,,,,5.453,3.471,18.765,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1301.jpg,,,True,evolved-fear-module,evolved-fear-module,"[""evolved-fear-module""]",1,Only one candidate skill analysis succeeded; using it as the final score.,True,0.98,,,3.5,7.5,0.3125,0.8125,"[""intense facial expression with bared teeth and open mouth"", ""visible saliva and tension in jaw"", ""aggressive posture with head tilted upward""]",,3.0,6.5,0.25,0.6875,strong,"[""bared teeth"", ""open mouth"", ""alert posture"", ""facing viewer""]",,-0.0625,-0.125,,,,,,,,,,,6.982,3.422,18.551,,,
/home/u1120250383/dcs/datasets/IAPS/Dataset/1310.jpg,,,True,pathogen-disgust,pathogen-disgust,"[""pathogen-disgust"", ""evolved-fear-module""]",2,"The image's dominant visual cues—blood and raw flesh—are primary triggers for pathogen disgust, which is more directly and strongly supported by the evidence than fear. The disgust response is more specific to contamination and decay, which are vividly depicted, while fear would require a more direct threat or predatory intent toward the viewer, which is not the primary focus here.",False,0.99,,,3.5,7.5,0.3125,0.8125,"[""intense facial expression of feeding"", ""visible blood and raw meat"", ""close-up of predator in act of consumption""]",,2.5,5.5,0.1875,0.5625,strong,"[""fresh blood"", ""raw flesh"", ""visible consumption""]",,-0.125,-0.25,,,,,,,,,,,7.744,3.426,21.536,,,
