image,ok,selected_skill,route_confidence,direct_valence,direct_arousal,skill_valence,skill_arousal,valence_delta,arousal_delta,direct_seconds,route_seconds,skill_seconds,error,parse_recovered,raw_error_output
/home/u1120250383/dcs/Emoskill_test/uploads/030013_Y_000.jpg,True,panas-discrete-va,0.95,0.8,0.7,0.78,0.82,-0.02,0.12,30.14,6.172,13.367,,,
/home/u1120250383/dcs/Emoskill_test/uploads/030013_Y_093.jpg,True,cognitive-appraisal,0.9,0.85,0.4,0.7,0.3,-0.15,-0.1,6.336,9.982,18.498,,,
/home/u1120250383/dcs/Emoskill_test/uploads/096817_Y_048.jpg,True,kaplan-art-restoration,0.95,-0.3,0.2,0.7,0.3,1.0,0.1,6.076,5.771,13.057,,,
/home/u1120250383/dcs/Emoskill_test/uploads/096817_Y_057.jpg,True,panas-discrete-va,0.95,0.85,0.7,0.8,0.75,-0.05,0.05,5.648,5.519,16.784,,,
/home/u1120250383/dcs/Emoskill_test/uploads/141517_Y_062.jpg,True,todorov-face-evaluation,0.95,0.6,0.3,0.6,0.3,0.0,0.0,5.484,5.727,12.537,,,
/home/u1120250383/dcs/Emoskill_test/uploads/141517_Y_077.jpg,True,kaplan-art-restoration,0.95,0.7,0.3,0.8,0.2,0.1,-0.1,5.612,7.339,12.54,,,
/home/u1120250383/dcs/Emoskill_test/uploads/141517_Y_099.jpg,True,kaplan-art-restoration,0.95,0.7,0.3,0.8,0.3,0.1,0.0,5.606,5.863,12.4,,,
/home/u1120250383/dcs/Emoskill_test/uploads/158941_Y_002.jpg,True,cognitive-appraisal,0.9,0.7,0.8,0.0,0.5,-0.7,-0.3,5.864,6.413,18.965,,,
/home/u1120250383/dcs/Emoskill_test/uploads/158941_Y_015.jpg,True,panas-discrete-va,0.95,0.85,0.65,0.78,0.72,-0.07,0.07,6.578,5.423,19.085,,,
/home/u1120250383/dcs/Emoskill_test/uploads/158941_Y_071.jpg,True,todorov-face-evaluation,0.95,0.75,0.3,0.7,0.3,-0.05,0.0,5.507,6.896,11.238,,,
/home/u1120250383/dcs/Emoskill_test/uploads/235921_Y_001.jpg,True,panas-discrete-va,0.95,0.9,0.7,0.78,0.72,-0.12,0.02,5.694,7.262,13.915,,,
/home/u1120250383/dcs/Emoskill_test/uploads/235921_Y_021.jpg,True,berlyne-arousal-pleasure,0.95,0.6,0.3,0.6,0.7,0.0,0.4,6.102,8.912,13.595,,,
/home/u1120250383/dcs/Emoskill_test/uploads/235921_Y_027.jpg,True,berlyne-arousal-pleasure,0.95,0.7,0.3,0.7,0.6,0.0,0.3,6.719,6.192,12.916,,,
/home/u1120250383/dcs/Emoskill_test/uploads/235921_Y_031.jpg,True,berlyne-arousal-pleasure,0.95,0.8,0.4,0.7,0.6,-0.1,0.2,5.285,6.006,12.879,,,
/home/u1120250383/dcs/Emoskill_test/uploads/235921_Y_051.jpg,True,berlyne-arousal-pleasure,0.95,0.3,0.4,0.6,0.7,0.3,0.3,6.985,5.944,11.476,,,
